date,type,customers
2020-10-07,fitted,33.80116635662228
2020-10-07,counterfactual,26.435465688070384
2020-10-07,actual,31.11111111111111
2020-10-08,fitted,35.138227662942846
2020-10-08,counterfactual,27.481164464058082
2020-10-08,actual,39.166666666666664
2020-10-09,fitted,46.54124651020743
2020-10-09,counterfactual,36.06592698603725
2020-10-09,actual,45.94444444444444
2020-10-10,fitted,64.03633917323245
2020-10-10,counterfactual,49.623293449357014
2020-10-10,actual,62.27777777777778
2020-10-11,fitted,57.106959101101104
2020-10-11,counterfactual,44.25355081289544
2020-10-11,actual,60.333333333333336
2020-10-12,fitted,29.279622430207827
2020-10-12,counterfactual,22.689480921294706
2020-10-12,actual,31.444444444444443
2020-10-13,fitted,34.51049018213215
2020-10-13,counterfactual,26.743005666772984
2020-10-13,actual,35.22222222222222
2020-10-14,fitted,37.96618139005089
2020-10-14,counterfactual,29.420903577473712
2020-10-14,actual,42.888888888888886
2020-10-15,fitted,38.80709154749932
2020-10-15,counterfactual,30.07254500554957
2020-10-15,actual,39.611111111111114
2020-10-16,fitted,54.69666352231643
2020-10-16,counterfactual,42.05922827649735
2020-10-16,actual,50.22222222222222
